name,team,opponent,week,season,isHome,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
Darnay Holmes,NYG,DET,11,2022,False,4,4,0,0,0,0,0
Leonard Williams,NYG,DET,11,2022,False,4,2,0,0,0,1,0
Jihad Ward,NYG,DET,11,2022,False,4,2,0,0,1,1,0
Nick McCloud,NYG,DET,11,2022,False,3,3,0,1,0,0,0
Jason Pinnock,NYG,DET,11,2022,False,3,3,0,1,0,0,0
Cor'Dale Flott,NYG,DET,11,2022,False,3,2,0,0,1,0,0
Tae Crowder,NYG,DET,11,2022,False,3,1,0,1,0,0,0
Adoree' Jackson,NYG,DET,11,2022,False,2,2,0,0,0,0,0
Kayvon Thibodeaux,NYG,DET,11,2022,False,2,2,0,0,0,0,0
Dane Belton,NYG,DET,11,2022,False,2,2,0,0,0,0,0
Justin Ellis,NYG,DET,11,2022,False,2,1,0,0,0,0,0
Richie James,NYG,DET,11,2022,False,1,1,0,0,0,0,0
Oshane Ximines,NYG,DET,11,2022,False,1,1,0,0,0,0,0
Tomon Fox,NYG,DET,11,2022,False,1,1,0,0,0,0,0
Andrew Thomas,NYG,DET,11,2022,False,1,1,0,0,0,0,0
Henry Mondeaux,NYG,DET,11,2022,False,1,0,0,0,0,0,0
Elerson Smith,NYG,DET,11,2022,False,1,0,0,0,0,0,0
Cam Brown,NYG,DET,11,2022,False,1,0,0,0,0,0,0
Nate Landman,ATL,TB,7,2023,True,12,5,0,0,0,0,0
Richie Grant,ATL,TB,7,2023,True,8,5,0,0,1,0,0
Kaden Elliss,ATL,TB,7,2023,True,6,5,0,1,0,0,0
Jessie Bates III,ATL,TB,7,2023,True,6,5,0,0,0,0,0
Jeff Okudah,ATL,TB,7,2023,True,6,5,0,0,1,0,0
A.J. Terrell,ATL,TB,7,2023,True,5,3,0,0,2,0,0
Calais Campbell,ATL,TB,7,2023,True,4,1,1,0,0,1,0
David Onyemata,ATL,TB,7,2023,True,4,1,1,1,0,3,0
LaCale London,ATL,TB,7,2023,True,3,1,0,1,0,0,0
Lorenzo Carter,ATL,TB,7,2023,True,2,1,1,1,0,1,0
Grady Jarrett,ATL,TB,7,2023,True,2,1,0,0,1,0,0
Ta'Quon Graham,ATL,TB,7,2023,True,2,1,0,0,0,0,0
Dee Alford,ATL,TB,7,2023,True,2,1,0,0,2,0,0
Bud Dupree,ATL,TB,7,2023,True,1,1,0,1,0,0,0
KhaDarel Hodge,ATL,TB,7,2023,True,1,1,0,0,0,0,0
Jonnu Smith,ATL,TB,7,2023,True,1,1,0,0,0,0,0
Micah Abernathy,ATL,TB,7,2023,True,1,1,0,0,0,0,0
DeAngelo Malone,ATL,TB,7,2023,True,1,1,0,0,0,0,0
Arnold Ebiketie,ATL,TB,7,2023,True,1,1,0,0,0,0,0
DeMarcco Hellams,ATL,TB,7,2023,True,0,0,0,0,0,1,0
Lavonte David,TB,ATL,7,2023,False,13,8,0,1,1,0,0
Jamel Dean,TB,ATL,7,2023,False,10,9,0,0,0,0,0
Ryan Neal,TB,ATL,7,2023,False,10,6,0,0,0,0,0
Shaquil Barrett,TB,ATL,7,2023,False,7,4,1,0,1,0,0
Antoine Winfield Jr.,TB,ATL,7,2023,False,7,4,0,0,1,0,0
Joe Tryon-Shoyinka,TB,ATL,7,2023,False,6,4,0,1,0,0,0
Devin White,TB,ATL,7,2023,False,5,3,0,0,0,0,0
Greg Gaines,TB,ATL,7,2023,False,4,1,0,0,0,0,0
Carlton Davis III,TB,ATL,7,2023,False,3,2,0,0,0,0,0
Christian Izien,TB,ATL,7,2023,False,3,2,0,0,0,0,0
William Gholston,TB,ATL,7,2023,False,2,2,0,0,0,0,0
Vita Vea,TB,ATL,7,2023,False,2,2,0,0,0,0,0
Ko Kieft,TB,ATL,7,2023,False,1,1,0,0,0,0,0
SirVocea Dennis,TB,ATL,7,2023,False,1,1,0,0,0,0,0
Zyon McCollum,TB,ATL,7,2023,False,1,0,0,0,0,0,0
Calijah Kancey,TB,ATL,7,2023,False,1,0,0,0,0,1,0
Yaya Diaby,TB,ATL,7,2023,False,1,0,0,0,0,0,0
John Johnson III,CLE,CAR,1,2022,True,7,4,0.5,0,0,1,0
Martin Emerson Jr.,CLE,CAR,1,2022,True,5,4,0,0,0,0,0
Jeremiah Owusu-Koramoah,CLE,CAR,1,2022,True,5,3,0,1,0,0,0
Myles Garrett,CLE,CAR,1,2022,True,4,4,2,3,1,2,0
Anthony Walker Jr.,CLE,CAR,1,2022,True,3,2,0,1,0,0,0
Grant Delpit,CLE,CAR,1,2022,True,3,2,0,0,1,0,0
Jacob Phillips,CLE,CAR,1,2022,True,3,1,0,0,0,0,0
Jadeveon Clowney,CLE,CAR,1,2022,True,3,0,0.5,0,2,1,0
Sione Takitaki,CLE,CAR,1,2022,True,2,2,0,0,0,0,0
Alex Wright,CLE,CAR,1,2022,True,2,2,0,0,1,0,0
Ronnie Harrison Jr.,CLE,CAR,1,2022,True,2,1,0.5,0,0,1,0
Greg Newsome II,CLE,CAR,1,2022,True,2,1,0,0,0,0,0
Taven Bryan,CLE,CAR,1,2022,True,1,1,0,0,0,0,0
Jerome Ford,CLE,CAR,1,2022,True,1,1,0,0,0,0,0
D'Anthony Bell,CLE,CAR,1,2022,True,1,1,0,0,0,0,0
Denzel Ward,CLE,CAR,1,2022,True,1,0,0,0,1,0,0
Jordan Elliott,CLE,CAR,1,2022,True,1,0,0,0,0,0,0
Tommy Togiai,CLE,CAR,1,2022,True,1,0,0.5,0,0,1,0
Perrion Winfrey,CLE,CAR,1,2022,True,0,0,0,0,1,0,0
Xavier Woods,CAR,CLE,1,2022,False,10,2,0,0,1,0,0
Brian Burns,CAR,CLE,1,2022,False,8,5,0,0,0,0,0
Jeremy Chinn,CAR,CLE,1,2022,False,7,5,0,0,0,0,0
Frankie Luvu,CAR,CLE,1,2022,False,6,5,0,0,0,1,0
Shaq Thompson,CAR,CLE,1,2022,False,6,2,0,0,0,1,0
Jaycee Horn,CAR,CLE,1,2022,False,5,4,0,0,0,0,0
Derrick Brown,CAR,CLE,1,2022,False,5,1,0,0,0,0,0
Donte Jackson,CAR,CLE,1,2022,False,4,4,0,0,0,0,0
Damien Wilson,CAR,CLE,1,2022,False,4,2,1,1,0,1,0
Matt Ioannidis,CAR,CLE,1,2022,False,4,0,0,0,0,1,0
CJ Henderson,CAR,CLE,1,2022,False,3,2,0,0,1,0,0
Marquis Haynes Sr.,CAR,CLE,1,2022,False,3,1,0,1,0,0,0
Henry Anderson,CAR,CLE,1,2022,False,2,2,0,2,0,0,0
Sam Franklin Jr.,CAR,CLE,1,2022,False,2,2,0,0,0,0,0
Cory Littleton,CAR,CLE,1,2022,False,2,1,0,0,1,0,0
Yetur Gross-Matos,CAR,CLE,1,2022,False,2,1,0,0,0,1,0
Phil Hoskins,CAR,CLE,1,2022,False,2,1,0,0,0,0,0
Sean Chandler,CAR,CLE,1,2022,False,2,0,0,0,0,0,0
Giovanni Ricci,CAR,CLE,1,2022,False,2,0,0,0,0,0,0
Myles Hartsfield,CAR,CLE,1,2022,False,2,0,0,0,1,0,0
Bravvion Roy,CAR,CLE,1,2022,False,1,1,0,0,0,0,0
Stantley Thomas-Oliver III,CAR,CLE,1,2022,False,1,1,0,0,0,0,0
Shi Smith,CAR,CLE,1,2022,False,1,1,0,0,0,0,0
Tommy Tremble,CAR,CLE,1,2022,False,1,0,0,0,0,0,0
Antonio Hamilton Sr.,ARI,PHI,17,2023,True,7,5,0,0,0,0,0
Krys Barnes,ARI,PHI,17,2023,True,7,4,0,1,0,1,0
Starling Thomas V,ARI,PHI,17,2023,True,5,5,0,0,1,0,0
BJ Ojulari,ARI,PHI,17,2023,True,5,3,0,0,0,0,0
Budda Baker,ARI,PHI,17,2023,True,4,2,0,2,0,0,0
Roy Lopez,ARI,PHI,17,2023,True,3,3,0,0,0,0,0
Victor Dimukeje,ARI,PHI,17,2023,True,3,3,0,0,0,1,0
Kevin Strong,ARI,PHI,17,2023,True,3,1,0,0,0,0,0
Jalen Thompson,ARI,PHI,17,2023,True,3,1,0,0,0,0,0
Andre Chachere,ARI,PHI,17,2023,True,2,2,0,0,0,0,0
Owen Pappoe,ARI,PHI,17,2023,True,2,1,0,0,0,0,0
Dennis Gardeck,ARI,PHI,17,2023,True,1,1,0,0,0,0,0
Joey Blount,ARI,PHI,17,2023,True,1,0,0,0,1,0,0
Zaven Collins,ARI,PHI,17,2023,True,1,0,0,0,0,0,0
Phil Hoskins,ARI,PHI,17,2023,True,1,0,0,0,0,0,0
Dante Stills,ARI,PHI,17,2023,True,1,0,0,0,0,0,0
Nicholas Morrow,PHI,ARI,17,2023,False,14,9,0,1,0,0,0
Kevin Byard III,PHI,ARI,17,2023,False,11,8,0,0,0,0,0
Reed Blankenship,PHI,ARI,17,2023,False,11,7,0,0,0,0,0
Josh Sweat,PHI,ARI,17,2023,False,6,4,0,0,0,1,0
Kelee Ringo,PHI,ARI,17,2023,False,5,3,0,0,0,0,0
Shaquille Leonard,PHI,ARI,17,2023,False,5,2,0,0,0,0,0
Sydney Brown,PHI,ARI,17,2023,False,5,2,0,0,1,0,1
Brandon Graham,PHI,ARI,17,2023,False,4,2,0,1,0,0,0
Milton Williams,PHI,ARI,17,2023,False,4,2,0,0,0,1,0
Ben VanSumeren,PHI,ARI,17,2023,False,4,1,0,0,0,0,0
Avonte Maddox,PHI,ARI,17,2023,False,3,2,0,0,0,0,0
Eli Ricks,PHI,ARI,17,2023,False,3,2,0,0,1,0,0
Fletcher Cox,PHI,ARI,17,2023,False,3,1,0,0,0,0,0
Nolan Smith,PHI,ARI,17,2023,False,3,0,0,0,0,0,0
Patrick Johnson,PHI,ARI,17,2023,False,2,1,0,0,0,0,0
Jalen Carter,PHI,ARI,17,2023,False,1,1,1,1,0,1,0
Rick Lovato,PHI,ARI,17,2023,False,1,1,0,0,0,0,0
Moro Ojomo,PHI,ARI,17,2023,False,1,1,0,0,0,0,0
James Bradberry IV,PHI,ARI,17,2023,False,1,0,0,0,0,0,0
Haason Reddick,PHI,ARI,17,2023,False,1,0,0,0,0,0,0
Jordan Davis,PHI,ARI,17,2023,False,1,0,0,0,0,0,0
Linval Joseph,LAC,PHI,9,2021,True,9,7,0,0,0,0,0
Drue Tranquill,LAC,PHI,9,2021,True,9,4,0,0,0,0,0
Kyzir White,LAC,PHI,9,2021,True,8,4,0,0,0,0,0
Nasir Adderley,LAC,PHI,9,2021,True,7,6,0,0,1,0,0
Derwin James Jr.,LAC,PHI,9,2021,True,5,4,0,0,0,0,0
Christian Covington,LAC,PHI,9,2021,True,4,4,0,0,0,0,0
Jerry Tillery,LAC,PHI,9,2021,True,4,1,0,0,0,0,0
Chris Harris Jr.,LAC,PHI,9,2021,True,3,3,0,0,0,0,0
Joey Bosa,LAC,PHI,9,2021,True,3,2,1,1,0,2,0
Ryan Smith,LAC,PHI,9,2021,True,2,1,0,0,0,0,0
