name,team,opponent,week,season,isHome,FG,PCT,LONG,XP,PTS
Ryan Succop,TB,CAR,16,2021,True,4/4,100.0,48,2/2,14
Lirim Hajrullahu,CAR,TB,16,2021,False,2/2,100.0,29,0/0,6
Harrison Butker,KC,LAC,18,2023,True,2/2,100.0,41,1/1,7
Cameron Dicker,LAC,KC,18,2023,False,4/4,100.0,49,0/0,12
Jason Sanders,MIA,WSH,13,2023,True,1/1,100.0,49,6/6,9
Joey Slye,WSH,MIA,13,2023,False,0/1,0.0,0,1/1,1
Blake Grupe,NO,TB,17,2023,True,3/3,100.0,45,2/2,11
Chase McLaughlin,TB,NO,17,2023,False,0/0,0.0,0,1/1,1
Brandon McManus,DEN,LV,4,2022,True,1/1,100.0,28,2/3,5
Daniel Carlson,LV,DEN,4,2022,False,4/4,100.0,39,2/3,14
Harrison Butker,KC,LAC,11,2022,True,3/3,100.0,52,3/3,12
Cameron Dicker,LAC,KC,11,2022,False,2/2,100.0,46,3/3,9
Michael Badgley,CHI,NYG,4,2022,True,4/4,100.0,40,0/0,12
Graham Gano,NYG,CHI,4,2022,False,2/3,67.0,44,2/2,8
Mason Crosby,NYG,PHI,16,2023,True,1/1,100.0,52,2/2,5
Jake Elliott,PHI,NYG,16,2023,False,4/4,100.0,44,3/3,15
Greg Joseph,MIN,NO,4,2022,True,5/5,100.0,47,1/2,16
Wil Lutz,NO,MIN,4,2022,False,1/2,50.0,60,2/2,5
Harrison Butker,KC,LV,18,2022,True,1/1,100.0,44,4/4,7
Daniel Carlson,LV,KC,18,2022,False,2/2,100.0,54,1/1,7
Brandon Aubrey,DAL,ARI,3,2023,True,3/3,100.0,49,1/1,10
Matt Prater,ARI,DAL,3,2023,False,3/3,100.0,62,1/1,10
Evan McPherson,CIN,PIT,11,2022,True,3/3,100.0,54,4/4,13
Matthew Wright,PIT,CIN,11,2022,False,3/3,100.0,42,3/3,12
Greg Zuerlein,DAL,KC,11,2021,True,3/3,100.0,48,0/0,9
Harrison Butker,KC,DAL,11,2021,False,2/3,67.0,53,1/2,7
Daniel Carlson,LV,CHI,7,2023,True,2/3,67.0,40,0/0,6
Cairo Santos,CHI,LV,7,2023,False,1/1,100.0,54,3/4,6
Randy Bullock,TEN,IND,8,2021,True,2/2,100.0,46,4/4,10
Michael Badgley,IND,TEN,8,2021,False,1/1,100.0,34,4/4,7
Mason Crosby,GB,WSH,7,2022,True,0/0,0.0,0,3/3,3
Joey Slye,WSH,GB,7,2022,False,3/4,75.0,31,2/2,11
Chad Ryland,NE,DAL,4,2023,True,1/2,50.0,29,0/0,3
Brandon Aubrey,DAL,NE,4,2023,False,3/3,100.0,33,3/3,12
Matt Ammendola,HOU,NYJ,14,2023,True,0/0,0.0,0,0/1,0
Greg Zuerlein,NYJ,HOU,14,2023,False,3/3,100.0,55,3/3,12
Graham Gano,NYG,SEA,8,2022,True,2/2,100.0,45,1/1,7
Jason Myers,SEA,NYG,8,2022,False,2/2,100.0,51,3/3,9
Chris Boswell,PIT,LAC,11,2021,True,3/3,100.0,45,4/4,13
Dustin Hopkins,LAC,PIT,11,2021,False,2/2,100.0,41,5/5,11
Mason Crosby,GB,TB,3,2022,True,0/0,0.0,0,2/2,2
Ryan Succop,TB,GB,3,2022,False,2/2,100.0,45,0/0,6
Cairo Santos,CHI,MIN,12,2023,True,4/5,80.0,55,0/0,12
Greg Joseph,MIN,CHI,12,2023,False,1/1,100.0,34,1/1,4
Greg Joseph,MIN,PHI,2,2022,True,0/0,0.0,0,1/1,1
Jake Elliott,PHI,MIN,2,2022,False,1/2,50.0,38,3/3,6
Michael Badgley,DET,GB,18,2022,True,2/3,67.0,37,2/2,8
Mason Crosby,GB,DET,18,2022,False,3/4,75.0,49,1/1,10
Cairo Santos,CHI,MIN,5,2022,True,3/3,100.0,51,1/1,10
Greg Joseph,MIN,CHI,5,2022,False,0/2,0.0,0,3/3,3
Greg Joseph,MIN,ATL,9,2023,True,3/3,100.0,32,2/2,11
