name,team,opponent,week,season,isHome,NO,YDS,AVG,TB,In 20,LONG
Arryn Siposs,PHI,NYJ,13,2021,True,1,38,38.0,0,1,38
Braden Mann,NYJ,PHI,13,2021,False,2,78,39.0,0,0,45
Braden Mann,PHI,LAR,5,2023,True,1,41,41.0,0,1,41
Ethan Evans,LAR,PHI,5,2023,False,4,215,53.8,0,2,65
Logan Cooke,JAX,IND,10,2021,True,7,332,47.4,0,5,59
Rigoberto Sanchez,IND,JAX,10,2021,False,7,319,45.6,0,1,55
Jack Fox,DET,BAL,7,2023,True,4,184,46.0,0,2,61
Jordan Stout,BAL,DET,7,2023,False,2,112,56.0,0,0,57
Ryan Wright,MIN,GB,17,2022,True,2,95,47.5,0,0,55
Pat O'Donnell,GB,MIN,17,2022,False,2,81,40.5,0,1,43
Ryan Wright,MIN,CAR,4,2023,True,4,216,54.0,0,0,61
Johnny Hekker,CAR,MIN,4,2023,False,5,229,45.8,1,2,59
Mitch Wishnowsky,SF,SEA,15,2022,True,6,253,42.2,1,3,46
Michael Dickson,SEA,SF,15,2022,False,7,349,49.9,1,3,64
Jamie Gillan,NYG,DAL,10,2023,True,7,350,50.0,1,2,58
Bryan Anger,DAL,NYG,10,2023,False,2,93,46.5,0,2,48
Rigoberto Sanchez,IND,CAR,9,2023,True,5,241,48.2,0,3,61
Johnny Hekker,CAR,IND,9,2023,False,4,174,43.5,0,2,50
Jordan Stout,BAL,SF,16,2023,True,3,130,43.3,0,2,56
Mitch Wishnowsky,SF,BAL,16,2023,False,2,112,56.0,0,1,57
Kevin Huber,CIN,CLE,18,2021,True,7,311,44.4,1,1,57
Dustin Colquitt,CLE,CIN,18,2021,False,4,150,37.5,0,0,56
Brett Kern,TEN,SEA,2,2021,True,2,94,47.0,0,1,53
Michael Dickson,SEA,TEN,2,2021,False,6,310,51.7,2,2,66
Pat O'Donnell,GB,MIN,1,2022,True,4,179,44.8,0,3,53
Ryan Wright,MIN,GB,1,2022,False,5,232,46.4,0,3,56
Tress Way,WSH,SEA,10,2023,True,5,227,45.4,0,2,52
Michael Dickson,SEA,WSH,10,2023,False,4,181,45.3,1,1,49
Trenton Gill,CHI,DAL,8,2022,True,4,203,50.8,0,1,62
Bryan Anger,DAL,CHI,8,2022,False,2,142,71.0,1,0,83
Logan Cooke,JAX,IND,1,2023,True,5,223,44.6,0,2,52
Rigoberto Sanchez,IND,JAX,1,2023,False,5,208,41.6,0,0,46
Blake Gillikin,ARI,PIT,13,2023,True,5,252,50.4,1,2,62
Pressley Harvin III,PIT,ARI,13,2023,False,4,179,44.8,0,2,49
Thomas Morstead,MIA,DET,8,2022,True,1,38,38.0,0,1,38
Jack Fox,DET,MIA,8,2022,False,2,117,58.5,0,0,60
AJ Cole,LV,KC,14,2021,True,3,150,50.0,1,0,60
Tommy Townsend,KC,LV,14,2021,False,1,52,52.0,0,1,52
Cameron Nizialek,ATL,TB,2,2021,True,4,157,39.3,1,1,54
Bradley Pinion,TB,ATL,2,2021,False,4,189,47.3,0,2,57
