name,espnId,season,INT,TD,YDS
Randy Gregory,3040479,2021,0.0,0.0,0.0
Randy Gregory,3040479,2021,0.0,0.0,0.0
Randy Gregory,3040479,2021,0.0,0.0,0.0
Randy Gregory,3040479,2021,0.0,0.0,0.0
Randy Gregory,3040479,2021,0.0,0.0,0.0
Randy Gregory,3040479,2021,0.0,0.0,0.0
Randy Gregory,3040479,2021,1.0,0.0,12.0
Randy Gregory,3040479,2021,0.0,0.0,0.0
Randy Gregory,3040479,2021,0.0,0.0,0.0
Randy Gregory,3040479,2021,0.0,0.0,0.0
Randy Gregory,3040479,2021,0.0,0.0,0.0
Perrion Winfrey,4686470,2023,0.0,0.0,0.0
Perrion Winfrey,4686470,2022,0.0,0.0,0.0
Perrion Winfrey,4686470,2022,0.0,0.0,0.0
Perrion Winfrey,4686470,2022,0.0,0.0,0.0
Perrion Winfrey,4686470,2022,0.0,0.0,0.0
Perrion Winfrey,4686470,2022,0.0,0.0,0.0
