Name,PlayerID,Experience,Height,Weight,Position,Age,Team,TeamID,isFreeAgent,Headshot,espnID
Cooper DeJean,4682618,R,"6'1""",207,CB,21,PHI,27,False,https://a.espncdn.com/i/headshots/college-football/players/full/4682618.png,4682618
Brian Branch,4692025,2,"6'0""",203,S,22,DET,11,False,https://a.espncdn.com/i/headshots/nfl/players/full/4692025.png,4692025
Christian Kirk,3895856,7,"5'11""",200,WR,27,JAX,15,False,https://a.espncdn.com/i/headshots/nfl/players/full/3895856.png,3895856
Matt Farniok,4034843,3,"6'5""",316,G,26,DET,11,False,https://a.espncdn.com/i/headshots/nfl/players/full/4034843.png,4034843
Christian Benford,4379778,3,"6'1""",205,CB,23,BUF,4,False,https://a.espncdn.com/i/headshots/nfl/players/full/4379778.png,4379778
Roy Mbaeteka,5024661,1,"6'9""",320,OT,24,CLE,8,False,https://a.espncdn.com/i/headshots/nfl/players/full/5024661.png,5024661
Kerby Joseph,4360383,3,"6'1""",203,S,23,DET,11,False,https://a.espncdn.com/i/headshots/nfl/players/full/4360383.png,4360383
Reid Ferguson,2976549,8,"6'2""",235,LS,30,BUF,4,False,https://a.espncdn.com/i/headshots/nfl/players/full/2976549.png,2976549
Colt McCoy,13199,14,"6'1""",212,QB,37,ARI,1,True,https://a.espncdn.com/i/headshots/nfl/players/full/13199.png,13199
Matt Gay,4249087,6,"6'0""",232,PK,30,IND,14,False,https://a.espncdn.com/i/headshots/nfl/players/full/4249087.png,4249087
Ahkello Witherspoon,3122630,7,"6'2""",195,CB,29,LAR,19,True,https://a.espncdn.com/i/headshots/nfl/players/full/3122630.png,3122630
John Jenkins,15846,12,"6'3""",327,DT,34,LV,17,False,https://a.espncdn.com/i/headshots/nfl/players/full/15846.png,15846
Jalyn Holmes,3121414,5,"6'5""",283,DE,28,NYJ,25,False,https://a.espncdn.com/i/headshots/nfl/players/full/3121414.png,3121414
Ben Sinnott,4690923,R,"6'4""",245,TE,21,WSH,32,False,https://a.espncdn.com/i/headshots/college-football/players/full/4690923.png,4690923
Joshua Uche,4046528,5,"6'1""",240,LB,25,NE,22,False,https://a.espncdn.com/i/headshots/nfl/players/full/4046528.png,4046528
Gunner Olszewski,4424106,6,"6'0""",190,WR,27,NYG,24,False,https://a.espncdn.com/i/headshots/nfl/players/full/4424106.png,4424106
Tyler Lockett,2577327,9,"5'10""",182,WR,31,SEA,29,False,https://a.espncdn.com/i/headshots/nfl/players/full/2577327.png,2577327
T'Vondre Sweat,4428617,R,"6'4""",362,DT,22,TEN,31,False,https://a.espncdn.com/i/headshots/college-football/players/full/4428617.png,4428617
Saquon Barkley,3929630,6,"6'0""",232,RB,27,PHI,27,False,https://a.espncdn.com/i/headshots/nfl/players/full/3929630.png,3929630
Chris Coleman,4242991,R,"5'11""",192,WR,25,MIA,20,True,https://a.espncdn.com/i/headshots/nfl/players/full/4242991.png,4242991
Roderick Perry II,4052609,1,"6'1""",304,DT,26,SEA,29,True,https://a.espncdn.com/i/headshots/nfl/players/full/4052609.png,4052609
Elijah Molden,4243328,3,"5'10""",192,CB,25,TEN,31,False,https://a.espncdn.com/i/headshots/nfl/players/full/4243328.png,4243328
Matthew Adams,3126179,7,"6'0""",230,LB,28,NYG,24,False,https://a.espncdn.com/i/headshots/nfl/players/full/3126179.png,3126179
Colby Sorsdal,4367775,2,"6'6""",315,OT,24,DET,11,False,https://a.espncdn.com/i/headshots/nfl/players/full/4367775.png,4367775
Avery Williams,4048259,4,"5'9""",195,CB,25,ATL,2,False,https://a.espncdn.com/i/headshots/nfl/players/full/4048259.png,4048259
Angelo Blackson,2574582,10,"6'4""",318,DE,31,DEN,10,False,https://a.espncdn.com/i/headshots/nfl/players/full/2574582.png,2574582
