,Name,Teams,Season,POS,GP,RUSH,REC,RET,TD,FG,XP,2PT,PTS,PTS/G
825,Michael Burton,KC,2021,FB,16,1,0,0,1,0,0,0,6,0.4
826,Chris Manhertz,JAX,2021,TE,17,0,1,0,1,0,0,0,6,0.4
827,DeAndre Houston-Carson,CHI,2021,S,13,0,0,1,1,0,0,0,6,0.5
828,Malcolm Brown,MIA,2021,RB,7,1,0,0,1,0,0,0,6,0.9
829,Carson Wentz,IND,2021,QB,17,1,0,0,1,0,0,0,6,0.4
830,Bobby McCain,WSH,2021,S,17,0,0,1,1,0,0,0,6,0.4
831,Ameer Abdullah,MIN / CAR,2021,RB,17,0,1,0,1,0,0,0,6,0.4
832,Nick Vannett,NO,2021,TE,7,0,1,0,1,0,0,0,6,0.9
833,Stephen Anderson,LAC,2021,TE,17,0,1,0,1,0,0,0,6,0.4
834,Marcus Mariota,LV,2021,QB,10,1,0,0,1,0,0,0,6,0.6
835,Justin Coleman,MIA,2021,CB,16,0,0,0,1,0,0,0,6,0.4
836,Jacoby Brissett,MIA,2021,QB,11,1,0,0,1,0,0,0,6,0.5
837,Tyler Kroft,NYJ,2021,TE,9,0,1,0,1,0,0,0,6,0.7
838,Alex Singleton,PHI,2021,LB,16,0,0,1,1,0,0,0,6,0.4
839,Jameis Winston,NO,2021,QB,7,1,0,0,1,0,0,0,6,0.9
840,Maxx Williams,ARI,2021,TE,5,0,1,0,1,0,0,0,6,1.2
841,Conor McDermott,NYJ,2021,OT,6,0,1,0,1,0,0,0,6,1.0
842,Nick Vigil,MIN,2021,LB,16,0,0,1,1,0,0,0,6,0.4
843,Breshad Perriman,TB,2021,WR,6,0,1,0,1,0,0,0,6,1.0
844,Patrick Ricard,BAL,2021,FB,13,0,1,0,1,0,0,0,6,0.5
845,Eric Saubert,DEN,2021,TE,17,0,1,0,1,0,0,0,6,0.4
846,Taylor Decker,DET,2021,OT,9,0,1,0,1,0,0,0,6,0.7
847,Sterling Shepard,NYG,2021,WR,7,0,1,0,1,0,0,0,6,0.9
848,P.J. Williams,NO,2021,CB,16,0,0,1,1,0,0,0,6,0.4
849,Carlos Watkins,DAL,2021,DT,15,0,0,1,1,0,0,0,6,0.4
850,Anthony Brown,DAL,2021,CB,16,0,0,1,1,0,0,0,6,0.4
851,Jesse James,CHI,2021,TE,14,0,1,0,1,0,0,0,6,0.4
852,Jonathan Williams,WSH,2021,RB,5,1,0,0,1,0,0,0,6,1.2
853,Mike Hilton,CIN,2021,CB,17,0,0,1,1,0,0,0,6,0.4
