,Name,Teams,Season,POS,GP,SOLO,AST,TOT,SACK YDS,YDS,TFL,PD,INT,INT YDS,LNG,TD,FF,FR,FTD
3343,Julian Blackmon,IND,2020,S,15,35,7,42,0.0,0,4,6,2,19,15,0,1,0,0
3344,Troy Pride Jr.,CAR,2020,CB,14,27,15,42,0.0,0,2,2,0,0,0,0,0,0,0
3345,Fletcher Cox,PHI,2020,DT,15,28,13,41,6.5,41,11,1,0,0,0,0,1,0,0
3346,Casey Hayward,LAC,2020,CB,14,36,5,41,0.0,0,0,8,1,9,9,0,0,0,0
3347,Landon Collins,WSH,2020,S,7,24,17,41,2.0,16,5,1,1,1,1,0,1,0,0
3348,Alex Anzalone,NO,2020,LB,16,22,19,41,0.0,0,4,0,0,0,0,0,0,0,0
3349,Kenny Clark,GB,2020,DT,13,28,13,41,2.0,12,3,0,0,0,0,0,0,0,0
3350,Chandon Sullivan,GB,2020,CB,16,32,9,41,0.0,0,1,6,1,7,7,1,0,0,0
3351,Dre'Mont Jones,DEN,2020,DE,13,26,15,41,6.5,36,8,2,0,0,0,0,0,0,0
3352,Juan Thornhill,KC,2020,S,16,33,8,41,0.0,0,0,3,1,20,20,0,0,0,0
3353,L'Jarius Sneed,KC,2020,CB,9,31,10,41,2.0,19,2,7,3,42,39,0,0,0,0
3354,P.J. Williams,NO,2020,CB,15,31,9,40,0.0,0,0,2,1,30,30,0,0,2,0
3355,Corn Elder,CAR,2020,CB,16,28,12,40,0.0,0,1,3,0,0,0,0,1,0,0
3356,Bilal Nichols,CHI,2020,DT,16,16,24,40,5.0,35,8,3,1,7,7,0,0,0,0
3357,J.C. Jackson,NE,2020,CB,16,34,6,40,0.0,0,1,14,9,80,30,0,0,2,0
3358,Avonte Maddox,PHI,2020,CB,10,36,4,40,0.0,0,1,3,0,0,0,0,0,0,0
3359,Poona Ford,SEA,2020,DT,16,25,15,40,2.0,14,8,0,0,0,0,0,1,0,0
3360,Raekwon Davis,MIA,2020,DT,16,19,21,40,0.0,0,1,0,0,0,0,0,0,0,0
3361,Tyson Alualu,PIT,2020,DT,15,18,21,39,2.0,18,7,5,0,0,0,0,1,0,0
3362,Darryl Roberts,DET,2020,CB,11,34,5,39,0.0,0,1,6,1,6,6,0,0,0,0
3363,Christian Covington,CIN,2020,DT,16,15,24,39,0.0,0,1,0,0,0,0,0,0,0,0
3364,Anthony Brown,DAL,2020,CB,10,32,7,39,1.0,11,1,3,2,14,14,0,0,1,1
3365,Joey Bosa,LAC,2020,LB,12,29,10,39,7.5,48,15,1,0,0,0,0,0,1,0
