,Name,Teams,Season,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1287,Johnny Mundt,LAR,2020,TE,16,4,4,53,13.3,0,34,1,3.3,0,0,45,1
1288,Ashton Dulin,IND,2020,WR,13,3,6,53,17.7,0,34,1,4.1,1,0,31,2
1289,Chris Manhertz,CAR,2020,TE,16,6,8,52,8.7,0,17,0,3.3,0,0,35,1
1290,Damien Harris,NE,2020,RB,10,5,7,52,10.4,0,15,0,5.2,0,0,56,4
1291,Mark Ingram II,BAL,2020,RB,11,6,8,50,8.3,0,18,0,4.5,0,0,52,2
1292,Virgil Green,LAC,2020,TE,6,3,6,50,16.7,1,26,1,8.3,0,0,24,2
1293,Trent Sherfield,ARI,2020,WR,15,5,7,50,10.0,0,26,1,3.3,0,0,27,2
1294,MyCole Pruitt,TEN,2020,TE,11,5,8,49,9.8,2,22,1,4.5,0,0,17,4
1295,Laquon Treadwell,ATL,2020,WR,5,6,7,49,8.2,2,14,0,9.8,0,0,13,4
1296,Javon Wims,CHI,2020,WR,13,6,12,48,8.0,1,13,0,3.7,0,0,5,4
1297,Dez Bryant,BAL,2020,WR,6,6,11,47,7.8,2,16,0,7.8,0,0,36,3
1298,Levine Toilolo,NYG,2020,TE,16,5,6,46,9.2,0,14,0,2.9,0,0,26,3
1299,Josh Hill,NO,2020,TE,14,8,10,46,5.8,1,16,0,3.3,1,0,38,3
1300,Jaylen Samuels,PIT,2020,RB,14,9,14,46,5.1,0,12,0,3.3,0,0,61,2
1301,Darrius Shepherd,GB,2020,WR,8,5,8,46,9.2,0,19,0,5.8,0,0,16,1
1302,Lil'Jordan Humphrey,NO,2020,WR,3,3,5,46,15.3,1,17,0,15.3,0,0,10,3
1303,Demetrius Harris,CHI,2020,TE,15,7,14,45,6.4,0,9,0,3.0,0,0,26,2
1304,Patrick Ricard,BAL,2020,FB,15,9,12,45,5.0,1,11,0,3.0,0,0,45,3
1305,Hunter Bryant,DET,2020,TE,5,1,3,44,44.0,0,44,1,8.8,0,0,13,1
1306,Theo Riddick,LV,2020,RB,4,5,6,43,8.6,0,15,0,10.8,0,0,33,1
1307,Troymaine Pope,LAC,2020,RB,6,8,10,42,5.3,0,11,0,7.0,0,0,42,1
1308,Devine Ozigbo,JAX,2020,RB,8,9,9,42,4.7,0,12,0,5.3,0,0,42,3
1309,Tanner Hudson,TB,2020,TE,11,3,7,41,13.7,0,20,1,3.7,0,0,14,3
1310,River Cracraft,SF,2020,WR,9,6,9,41,6.8,0,12,0,4.6,0,0,12,2
1311,Tarik Cohen,CHI,2020,RB,3,6,9,41,6.8,0,20,1,13.7,0,0,61,1
1312,Ted Ginn Jr.,CHI,2020,WR,6,3,6,40,13.3,0,29,1,6.7,0,0,13,1
1313,Khari Blasingame,TEN,2020,FB,15,4,5,39,9.8,0,16,0,2.6,0,0,34,2
1314,Juwan Johnson,NO,2020,TE,7,4,10,39,9.8,0,19,0,5.6,0,0,20,3
1315,Riley Ridley,CHI,2020,WR,5,4,4,39,9.8,0,18,0,7.8,0,0,2,3
1316,Devin Asiasi,NE,2020,TE,9,2,7,39,19.5,1,26,1,4.3,0,0,6,2
